200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200
200,0,0,100,100,100,100,100,0,100,100,0,100,0,0,0,200
200,200,0,200,0,200,0,200,100,200,100,200,100,200,0,200,200
200,100,100,100,100,100,0,0,0,0,100,100,100,100,100,0,200
200,200,100,200,100,200,100,200,0,200,100,200,100,200,100,200,200
200,100,100,100,0,0,0,100,0,100,0,100,0,100,0,100,200
200,200,100,200,0,200,100,500,500,500,100,200,0,200,100,200,200
200,0,100,100,0,0,0,500,500,500,100,100,0,0,0,100,200
200,200,100,200,0,200,0,500,500,500,100,200,0,200,100,200,200
200,100,100,100,100,100,0,100,100,100,100,100,100,100,100,0,200
200,200,0,200,100,200,100,200,100,200,100,200,100,200,100,200,200
200,100,100,100,100,100,0,0,0,0,0,100,100,100,100,100,200
200,200,0,200,0,200,100,200,0,200,0,200,0,200,0,200,200
200,0,0,0,0,100,100,100,0,100,100,100,0,0,0,0,200
200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200
